test/mean_Q,train/mean_Q,epoch,train/episode,stats_o/std,test/success_rate,stats_o/mean,stats_g/mean,test/episode,train/success_rate,stats_g/std
-16.330374,-27.930683,122,12300.0,0.09368558,0.55,0.19076261,0.8063517,2460.0,0.17,0.16458149
-22.80537,-27.45982,123,12400.0,0.09371753,0.4,0.19078696,0.80647993,2480.0,0.17,0.16454281
-16.615515,-28.18996,124,12500.0,0.09368826,0.4,0.19081753,0.80676174,2500.0,0.18,0.1644069
-23.26135,-27.853758,125,12600.0,0.09369478,0.3,0.19087173,0.80691105,2520.0,0.18,0.16438569
-18.955883,-28.67112,126,12700.0,0.09369601,0.45,0.19088802,0.8069305,2540.0,0.17,0.16442426
-22.59604,-28.567612,127,12800.0,0.09362218,0.25,0.19094643,0.8071627,2560.0,0.17,0.16427529
-16.909077,-29.423494,128,12900.0,0.09358051,0.55,0.19097006,0.8072667,2580.0,0.17,0.1642736
-20.139925,-26.870842,129,13000.0,0.09351447,0.45,0.19096686,0.8073299,2600.0,0.23,0.16417384
-21.239002,-28.804865,130,13100.0,0.093526185,0.4,0.19099928,0.80745274,2620.0,0.18,0.16412778
-21.349178,-28.556385,131,13200.0,0.09355584,0.4,0.19101124,0.8075767,2640.0,0.19,0.16413918
-15.021007,-27.83605,132,13300.0,0.09357404,0.65,0.191007,0.80769676,2660.0,0.17,0.16403066
-16.164185,-29.604519,133,13400.0,0.09353923,0.45,0.1910701,0.8078676,2680.0,0.16,0.16388984
-15.597435,-28.063833,134,13500.0,0.09363121,0.6,0.19108805,0.8078944,2700.0,0.22,0.16379534
-17.493443,-28.444948,135,13600.0,0.093632095,0.4,0.19109963,0.8080351,2720.0,0.13,0.16368987
-16.609716,-28.691246,136,13700.0,0.09359499,0.45,0.1911251,0.80812424,2740.0,0.18,0.16354804
-20.500912,-27.766523,137,13800.0,0.09355103,0.4,0.19113329,0.80819696,2760.0,0.25,0.16356327
-21.77985,-30.945261,138,13900.0,0.09351666,0.45,0.19117124,0.80836946,2780.0,0.14,0.16366194
-16.164812,-26.824898,139,14000.0,0.09341237,0.5,0.1911924,0.80845076,2800.0,0.2,0.16348553
-13.963852,-31.087957,140,14100.0,0.09346151,0.5,0.19120389,0.8085811,2820.0,0.1,0.16349332
-16.419014,-29.951172,141,14200.0,0.09349166,0.5,0.19121847,0.80865103,2840.0,0.11,0.16349651
-18.402493,-26.030762,142,14300.0,0.093443766,0.55,0.19121717,0.8086781,2860.0,0.24,0.16350806
-20.648865,-28.98081,143,14400.0,0.09348774,0.35,0.19120932,0.8087395,2880.0,0.17,0.16351262
-18.172016,-28.733332,144,14500.0,0.09352313,0.4,0.19125293,0.80887777,2900.0,0.16,0.16350783
-19.870749,-28.28818,145,14600.0,0.093621224,0.4,0.19125435,0.80894333,2920.0,0.21,0.16353454
-15.957903,-28.126526,146,14700.0,0.09360416,0.4,0.19127472,0.8090455,2940.0,0.17,0.16351202
-16.923962,-27.037231,147,14800.0,0.0935431,0.55,0.1913207,0.80920213,2960.0,0.26,0.16344517
-19.675922,-28.404814,148,14900.0,0.0935314,0.2,0.19134529,0.8093106,2980.0,0.18,0.1633999
-16.554775,-27.95635,149,15000.0,0.09352601,0.5,0.1913863,0.809488,3000.0,0.22,0.16335262
-19.198786,-28.1558,150,15100.0,0.09362407,0.5,0.19141456,0.8097234,3020.0,0.16,0.1632325
-21.216509,-28.478539,151,15200.0,0.09360621,0.5,0.19144994,0.80975413,3040.0,0.15,0.16320047
