test/mean_Q,stats_o/mean,stats_g/mean,train/success_rate,test/episode,train/mean_Q,stats_o/std,train/episode,epoch,test/success_rate,stats_g/std
-17.46442,0.18827997,0.7820273,0.19,2120.0,-26.552736,0.08948043,10600.0,105,0.3,0.14494996
-17.507366,0.18833207,0.78212243,0.1,2140.0,-28.768927,0.089440584,10700.0,106,0.45,0.14502466
-16.959656,0.18832447,0.7821676,0.17,2160.0,-27.269764,0.08945805,10800.0,107,0.4,0.14504944
-17.143238,0.1883461,0.7822587,0.12,2180.0,-28.91834,0.08955056,10900.0,108,0.35,0.14530407
-18.589005,0.18835232,0.7823219,0.21,2200.0,-26.355095,0.08952397,11000.0,109,0.15,0.1452064
-16.441488,0.18834014,0.7823164,0.15,2220.0,-28.164097,0.08960609,11100.0,110,0.55,0.14529902
-19.173847,0.18840046,0.7825358,0.19,2240.0,-26.383806,0.08955997,11200.0,111,0.55,0.14529125
-14.883626,0.18842323,0.7825939,0.11,2260.0,-28.670383,0.089490555,11300.0,112,0.5,0.14528105
-19.333454,0.18839218,0.7825132,0.19,2280.0,-27.650347,0.08954903,11400.0,113,0.3,0.14538804
-16.547354,0.18844028,0.7825702,0.14,2300.0,-29.421135,0.089570135,11500.0,114,0.3,0.14537396
-16.83921,0.18848224,0.782686,0.18,2320.0,-27.631382,0.08952713,11600.0,115,0.25,0.14536017
-17.860561,0.1885066,0.78271383,0.1,2340.0,-29.739477,0.08984004,11700.0,116,0.35,0.14548519
-18.373093,0.18852884,0.7827627,0.17,2360.0,-28.901339,0.08989763,11800.0,117,0.25,0.14559016
-18.052763,0.18852158,0.78274924,0.1,2380.0,-29.480324,0.08990618,11900.0,118,0.4,0.14558384
-19.290546,0.18854553,0.78280467,0.12,2400.0,-27.306395,0.08999991,12000.0,119,0.35,0.14554211
-16.65283,0.18857439,0.7829242,0.15,2420.0,-28.95005,0.09002575,12100.0,120,0.4,0.14556603
-15.841443,0.18860537,0.7830549,0.12,2440.0,-29.788681,0.09009219,12200.0,121,0.4,0.14565344
-19.028885,0.18862508,0.7831463,0.13,2460.0,-29.673521,0.0901239,12300.0,122,0.5,0.14576766
-18.411076,0.188684,0.7832966,0.17,2480.0,-29.220928,0.090101235,12400.0,123,0.5,0.14576794
-17.572058,0.18870927,0.78342223,0.14,2500.0,-28.937315,0.090135224,12500.0,124,0.5,0.14571474
-23.18641,0.1887462,0.78346235,0.17,2520.0,-27.494621,0.09010094,12600.0,125,0.15,0.14585488
-20.002758,0.18877915,0.7835323,0.18,2540.0,-27.248735,0.09012155,12700.0,126,0.4,0.14585589
-16.47104,0.18884382,0.783696,0.17,2560.0,-27.486273,0.09013969,12800.0,127,0.5,0.14594236
-17.900162,0.18890022,0.78383535,0.17,2580.0,-27.18942,0.090120345,12900.0,128,0.3,0.14591019
-18.125797,0.18891674,0.78383636,0.3,2600.0,-24.294436,0.0901237,13000.0,129,0.5,0.1458624
-21.548405,0.18895717,0.78395766,0.13,2620.0,-28.77781,0.09014125,13100.0,130,0.25,0.14584191
-19.675045,0.18895675,0.7840056,0.16,2640.0,-27.263805,0.09026452,13200.0,131,0.4,0.14594623
-15.998344,0.18897752,0.78407407,0.21,2660.0,-28.030123,0.090415545,13300.0,132,0.4,0.14610076
-18.160816,0.18901527,0.78417975,0.16,2680.0,-27.573627,0.0903902,13400.0,133,0.55,0.1460928
-17.153515,0.18900907,0.784144,0.16,2700.0,-30.044727,0.09053826,13500.0,134,0.55,0.1462179
-13.882822,0.18906051,0.78431934,0.2,2720.0,-28.74719,0.09067518,13600.0,135,0.6,0.14626168
-13.6719055,0.18908644,0.784424,0.2,2740.0,-26.15067,0.09068715,13700.0,136,0.55,0.1462862
-17.01968,0.18910283,0.7845494,0.17,2760.0,-27.356724,0.090678036,13800.0,137,0.4,0.14627855
-15.751326,0.18913871,0.7846957,0.12,2780.0,-28.388828,0.09076684,13900.0,138,0.55,0.14634426
-13.064339,0.18919416,0.78485817,0.17,2800.0,-28.736553,0.090839185,14000.0,139,0.45,0.1463556
-15.434227,0.18921003,0.78500104,0.16,2820.0,-28.650965,0.09086375,14100.0,140,0.45,0.14638902
-15.08723,0.18924262,0.78500795,0.21,2840.0,-26.122614,0.09082586,14200.0,141,0.55,0.14633264
-16.84216,0.18926173,0.78506947,0.2,2860.0,-27.251768,0.09080465,14300.0,142,0.45,0.14629044
-16.219471,0.18927643,0.7851231,0.18,2880.0,-26.95717,0.09076555,14400.0,143,0.6,0.1462297
-15.006625,0.18930094,0.78511804,0.19,2900.0,-26.13155,0.090799525,14500.0,144,0.45,0.14631182
-18.5725,0.18929702,0.7851434,0.2,2920.0,-25.428743,0.09084212,14600.0,145,0.25,0.14630835
-13.482121,0.18933918,0.7852518,0.22,2940.0,-26.973282,0.09081746,14700.0,146,0.55,0.1461988
-14.434619,0.18939014,0.7853753,0.16,2960.0,-26.207714,0.09084565,14800.0,147,0.4,0.14629066
-15.921461,0.18939508,0.7854232,0.11,2980.0,-25.701216,0.09086674,14900.0,148,0.5,0.14624597
-16.034845,0.18943012,0.7855285,0.13,3000.0,-25.081419,0.09084613,15000.0,149,0.35,0.14617865
-15.5868225,0.18945608,0.78569955,0.14,3020.0,-26.114561,0.09088673,15100.0,150,0.4,0.14613275
-16.410107,0.18946554,0.7857292,0.12,3040.0,-24.206104,0.0908945,15200.0,151,0.45,0.14616188
-16.022274,0.18945462,0.7856877,0.11,3060.0,-24.959185,0.09086946,15300.0,152,0.45,0.14615454
-15.368431,0.18944892,0.7856839,0.16,3080.0,-23.656374,0.09081323,15400.0,153,0.5,0.14613478
-14.223356,0.18945293,0.7857297,0.15,3100.0,-25.593613,0.09083987,15500.0,154,0.35,0.14615385
-12.422251,0.18947463,0.78581125,0.26,3120.0,-24.094488,0.090817176,15600.0,155,0.6,0.1461515
-15.266367,0.18952629,0.78587013,0.1,3140.0,-26.779577,0.090815954,15700.0,156,0.45,0.1461517
-14.358957,0.18953376,0.7858057,0.16,3160.0,-25.540112,0.09082983,15800.0,157,0.45,0.14606269
-13.047475,0.18952505,0.7857844,0.11,3180.0,-26.20545,0.090749,15900.0,158,0.55,0.14596765
-14.781549,0.18952847,0.78583366,0.11,3200.0,-27.565865,0.090689324,16000.0,159,0.55,0.14596029
-15.458124,0.18954101,0.7858679,0.17,3220.0,-28.548286,0.09072202,16100.0,160,0.6,0.14597856
-15.143372,0.18955757,0.7859287,0.09,3240.0,-28.017817,0.09071707,16200.0,161,0.7,0.14594026
-16.794615,0.18957692,0.78602266,0.19,3260.0,-27.803543,0.09071103,16300.0,162,0.4,0.14590645
-16.395771,0.18958393,0.78604215,0.15,3280.0,-26.399359,0.090758905,16400.0,163,0.5,0.14588456
-17.340748,0.18956928,0.7859831,0.13,3300.0,-28.326025,0.09079344,16500.0,164,0.65,0.14588143
-15.9973755,0.18958202,0.7860102,0.21,3320.0,-27.15528,0.09080067,16600.0,165,0.5,0.14594218
-14.204976,0.1895702,0.785968,0.16,3340.0,-27.850561,0.09079257,16700.0,166,0.5,0.14594258
-16.504747,0.18959822,0.78605676,0.16,3360.0,-29.343895,0.09076545,16800.0,167,0.35,0.14596868
-16.078493,0.18962143,0.78609586,0.11,3380.0,-28.715578,0.09079372,16900.0,168,0.5,0.14593261
-17.237255,0.1896444,0.78613573,0.14,3400.0,-27.772633,0.090811856,17000.0,169,0.4,0.14590055
-14.831113,0.1896557,0.7862334,0.15,3420.0,-27.28883,0.09080363,17100.0,170,0.45,0.1458108
-16.52135,0.18967481,0.7863422,0.21,3440.0,-26.156862,0.09073982,17200.0,171,0.55,0.14570051
-16.188028,0.18968011,0.7863996,0.1,3460.0,-30.608583,0.090812944,17300.0,172,0.5,0.14575817
-16.056236,0.18968752,0.78646857,0.14,3480.0,-29.118904,0.09081995,17400.0,173,0.5,0.14576192
-12.836558,0.18973307,0.7864716,0.16,3500.0,-27.772165,0.090831615,17500.0,174,0.75,0.14577799
-13.871035,0.18977208,0.7865429,0.17,3520.0,-29.25271,0.09086054,17600.0,175,0.7,0.14581574
-12.885653,0.1898076,0.7865954,0.13,3540.0,-27.935572,0.090866596,17700.0,176,0.4,0.14580354
-12.799479,0.18982245,0.78664476,0.23,3560.0,-28.540312,0.09088541,17800.0,177,0.65,0.14581162
-19.197647,0.18984619,0.7867007,0.14,3580.0,-28.724375,0.09090003,17900.0,178,0.35,0.14582117
-17.700535,0.18987234,0.78675365,0.18,3600.0,-28.09368,0.090886354,18000.0,179,0.55,0.14581737
-14.407123,0.18991119,0.7868383,0.24,3620.0,-27.983875,0.09092797,18100.0,180,0.55,0.14579329
-17.385115,0.189938,0.78691363,0.12,3640.0,-30.301758,0.090966634,18200.0,181,0.45,0.14577807
-18.153673,0.18996643,0.78698397,0.17,3660.0,-29.234259,0.0910756,18300.0,182,0.25,0.14586426
-20.152351,0.18997921,0.7870262,0.14,3680.0,-28.654924,0.09110429,18400.0,183,0.45,0.14586978
-21.01777,0.18998529,0.7870178,0.16,3700.0,-29.272507,0.091159165,18500.0,184,0.4,0.14592543
-15.419467,0.1900033,0.787072,0.17,3720.0,-28.99856,0.09118707,18600.0,185,0.6,0.14591183
-13.328647,0.19003311,0.7871704,0.21,3740.0,-27.97221,0.09122277,18700.0,186,0.65,0.14588481
-20.29591,0.19004501,0.7872146,0.21,3760.0,-28.097961,0.09130362,18800.0,187,0.35,0.1458688
-15.811407,0.19007705,0.7873294,0.13,3780.0,-30.484037,0.09137467,18900.0,188,0.5,0.1458466
-17.888485,0.19007319,0.78736836,0.16,3800.0,-29.682371,0.09142917,19000.0,189,0.45,0.14577523
-16.185085,0.19006683,0.7873931,0.15,3820.0,-29.96894,0.09147605,19100.0,190,0.5,0.14575164
-18.56302,0.1900858,0.78747416,0.17,3840.0,-28.054136,0.09145678,19200.0,191,0.3,0.14569013
-21.363733,0.19009386,0.787483,0.15,3860.0,-29.189905,0.091467865,19300.0,192,0.3,0.14564966
-18.16312,0.1900906,0.78751755,0.12,3880.0,-28.872139,0.09150239,19400.0,193,0.4,0.14559604
-18.35306,0.1901214,0.78762174,0.16,3900.0,-29.746172,0.09152612,19500.0,194,0.55,0.14561981
-16.790361,0.19014145,0.78767866,0.23,3920.0,-27.959482,0.09156898,19600.0,195,0.6,0.14567374
-16.319736,0.19015115,0.7877183,0.2,3940.0,-26.502327,0.091575615,19700.0,196,0.6,0.14566596
-13.884961,0.1901608,0.7877061,0.13,3960.0,-28.545504,0.09163012,19800.0,197,0.6,0.14568211
-10.977739,0.19016318,0.7877567,0.13,3980.0,-27.203606,0.09168777,19900.0,198,0.75,0.14563237
-15.588995,0.19018759,0.7878476,0.17,4000.0,-25.907034,0.091695994,20000.0,199,0.3,0.14559205
