train/success_rate,test/mean_Q,train/episode,stats_o/mean,test/episode,test/success_rate,epoch,stats_o/std,train/mean_Q,stats_g/mean,stats_g/std
0.24,-23.661005,11000.0,0.20359503,2200.0,0.3,109,0.09785608,-21.471207,0.8409467,0.09517476
0.34,-19.7205,11100.0,0.20359924,2220.0,0.25,110,0.0981128,-20.762201,0.8409291,0.09520527
0.2,-22.938488,11200.0,0.20363493,2240.0,0.4,111,0.09850278,-24.71323,0.8409453,0.09525004
0.25,-19.912907,11300.0,0.20361273,2260.0,0.45,112,0.09870423,-22.84684,0.8409565,0.0952296
0.2,-21.66646,11400.0,0.20365447,2280.0,0.25,113,0.09924872,-22.703724,0.84096926,0.09546573
0.17,-28.451284,11500.0,0.20365897,2300.0,0.15,114,0.09953464,-22.991192,0.8409539,0.09552731
0.27,-23.930792,11600.0,0.20367014,2320.0,0.3,115,0.09984415,-20.818933,0.8409546,0.09549781
0.25,-24.231695,11700.0,0.20365763,2340.0,0.2,116,0.100166894,-21.749535,0.8409164,0.095558606
0.27,-23.045483,11800.0,0.20366164,2360.0,0.35,117,0.10049456,-20.208864,0.840952,0.09551308
0.29,-18.707241,11900.0,0.20371947,2380.0,0.4,118,0.10069561,-20.890179,0.84099936,0.0955075
0.26,-17.866476,12000.0,0.20369305,2400.0,0.3,119,0.10089885,-22.353798,0.8410139,0.09552142
0.22,-19.631058,12100.0,0.20367403,2420.0,0.25,120,0.10106612,-24.38648,0.84096795,0.095488794
0.23,-14.969516,12200.0,0.20367093,2440.0,0.35,121,0.101290904,-25.046442,0.84100837,0.09548739
0.21,-14.32876,12300.0,0.2036605,2460.0,0.55,122,0.10157183,-22.109838,0.8410137,0.09548124
0.29,-16.159847,12400.0,0.20367746,2480.0,0.4,123,0.10177497,-20.7342,0.84104085,0.09543247
0.23,-23.608112,12500.0,0.20366625,2500.0,0.35,124,0.10197459,-23.241705,0.8410961,0.09548848
0.28,-22.270348,12600.0,0.20365348,2520.0,0.3,125,0.1021838,-21.25434,0.8410804,0.09553782
0.34,-19.521105,12700.0,0.20364803,2540.0,0.35,126,0.10231933,-21.595783,0.8410995,0.0954844
0.24,-15.700429,12800.0,0.20360939,2560.0,0.45,127,0.102417015,-23.285662,0.8411038,0.09543707
0.23,-24.607464,12900.0,0.2036307,2580.0,0.35,128,0.10269868,-22.933449,0.8410736,0.09546106
0.29,-19.825262,13000.0,0.20361105,2600.0,0.35,129,0.10289626,-21.332283,0.84109855,0.095437765
0.31,-19.379375,13100.0,0.20359685,2620.0,0.35,130,0.103091046,-20.239962,0.8410645,0.095437355
0.31,-14.044721,13200.0,0.20358412,2640.0,0.5,131,0.103163406,-20.557442,0.8410714,0.095385544
0.35,-19.278255,13300.0,0.20360819,2660.0,0.4,132,0.103248365,-21.231989,0.84113836,0.09538593
0.24,-23.432886,13400.0,0.20364787,2680.0,0.15,133,0.10345552,-22.753008,0.84115624,0.09539781
0.26,-22.941143,13500.0,0.2036462,2700.0,0.4,134,0.10374475,-21.794249,0.8412523,0.095497094
0.28,-20.068806,13600.0,0.20363864,2720.0,0.4,135,0.103992395,-20.787666,0.84123415,0.09551104
0.21,-20.682049,13700.0,0.20361094,2740.0,0.3,136,0.10426153,-21.798254,0.8412459,0.09552616
0.27,-24.949903,13800.0,0.20362058,2760.0,0.25,137,0.10445556,-18.974174,0.84121376,0.09557708
