train/mean_Q,stats_o/mean,epoch,stats_g/std,test/mean_Q,test/success_rate,stats_o/std,train/episode,stats_g/mean,train/success_rate,test/episode
-14.7592325,0.20121819,87,0.0770312,-13.207792,0.5,0.07530527,8800.0,0.83706254,0.37,1760.0
-13.62405,0.20122667,88,0.07694279,-14.376576,0.3,0.07581356,8900.0,0.8371596,0.4,1780.0
-12.708369,0.20121065,89,0.07682684,-11.523412,0.4,0.07622136,9000.0,0.8371835,0.4,1800.0
-11.312758,0.2011551,90,0.076824486,-11.253022,0.55,0.07704456,9100.0,0.8372059,0.42,1820.0
-12.213714,0.20115566,91,0.07677841,-15.80916,0.3,0.07798899,9200.0,0.8372368,0.42,1840.0
-11.672877,0.20107965,92,0.07673796,-9.187806,0.5,0.078925654,9300.0,0.8372337,0.47,1860.0
-11.716517,0.20100826,93,0.07663038,-10.613777,0.35,0.07943745,9400.0,0.83721083,0.44,1880.0
-10.570213,0.20097744,94,0.07664036,-7.27761,0.6,0.08003978,9500.0,0.8371528,0.49,1900.0
-10.000505,0.20099305,95,0.07654981,-5.659194,0.7,0.08044726,9600.0,0.8370785,0.49,1920.0
-8.662693,0.20102829,96,0.07640698,-9.558929,0.45,0.08087833,9700.0,0.8370929,0.65,1940.0
-8.447585,0.20101348,97,0.076320015,-8.170088,0.4,0.081472695,9800.0,0.83707666,0.6,1960.0
-8.01697,0.20107855,98,0.07629467,-7.5717688,0.45,0.08202945,9900.0,0.8371182,0.64,1980.0
-8.302792,0.20109716,99,0.07624922,-5.3949695,0.7,0.08252715,10000.0,0.83711296,0.58,2000.0
-7.804297,0.20111859,100,0.076217644,-5.0843267,0.6,0.08291945,10100.0,0.83710355,0.63,2020.0
-6.554859,0.20109972,101,0.07611773,-6.3509746,0.55,0.08344552,10200.0,0.83708006,0.64,2040.0
-7.793124,0.20117228,102,0.07608204,-6.318457,0.7,0.08389705,10300.0,0.83712953,0.66,2060.0
-7.6060967,0.20120823,103,0.07601646,-4.839284,0.75,0.08427299,10400.0,0.83716375,0.7,2080.0
-5.815726,0.20125741,104,0.07593214,-4.30071,0.8,0.08449186,10500.0,0.8372132,0.75,2100.0
-5.195777,0.20127748,105,0.075827114,-3.869883,0.75,0.08472198,10600.0,0.8372112,0.83,2120.0
-5.1172566,0.20131628,106,0.075716905,-3.7776866,0.8,0.08503092,10700.0,0.83722043,0.85,2140.0
-5.3410935,0.20135117,107,0.07562411,-4.434827,0.65,0.08559094,10800.0,0.83723646,0.85,2160.0
-5.3542566,0.20132938,108,0.075600736,-2.380352,0.9,0.085983,10900.0,0.8371804,0.75,2180.0
-4.7114706,0.20132793,109,0.07554418,-3.915746,0.9,0.086120084,11000.0,0.8371746,0.77,2200.0
-4.5147147,0.20132212,110,0.075433955,-3.866759,0.75,0.08636321,11100.0,0.8371803,0.83,2220.0
-4.710058,0.20130394,111,0.075462125,-2.4619243,1.0,0.086577386,11200.0,0.8371949,0.81,2240.0
-4.7610426,0.20129116,112,0.07537409,-2.4456706,0.95,0.08691168,11300.0,0.83719254,0.84,2260.0
-4.537622,0.20127352,113,0.07535896,-2.5616584,0.85,0.087196395,11400.0,0.83712196,0.79,2280.0
-3.7485852,0.20123658,114,0.07526401,-3.246392,0.85,0.087436914,11500.0,0.83712155,0.87,2300.0
-3.7206683,0.20121938,115,0.07517898,-2.8712745,0.9,0.0876399,11600.0,0.83713603,0.86,2320.0
-4.4095573,0.2012303,116,0.07510996,-2.5331874,0.9,0.08798691,11700.0,0.83711845,0.79,2340.0
-3.7270167,0.20121957,117,0.07508326,-2.2678795,0.85,0.08840037,11800.0,0.83705884,0.85,2360.0
-4.410021,0.20128545,118,0.07500007,-2.2435157,0.9,0.088801086,11900.0,0.8370225,0.79,2380.0
-3.6100042,0.20127547,119,0.074996166,-2.8997686,0.85,0.08901971,12000.0,0.8370158,0.89,2400.0
-4.6392546,0.20128727,120,0.07491877,-3.571827,0.7,0.08943443,12100.0,0.8369927,0.8,2420.0
