train/success_rate,train/episode,stats_g/mean,train/mean_Q,test/success_rate,stats_o/mean,epoch,stats_o/std,test/mean_Q,test/episode,stats_g/std
0.36,11500.0,0.8436826,-19.225279,0.4,0.20440564,114,0.11374875,-23.99842,2300.0,0.09959179
0.49,11600.0,0.84368205,-16.99556,0.45,0.20440531,115,0.1137479,-19.393768,2320.0,0.09953629
0.41,11700.0,0.8436596,-18.636253,0.45,0.20442127,116,0.11386816,-20.61861,2340.0,0.099540554
0.52,11800.0,0.84365743,-17.36544,0.5,0.20448229,117,0.11405178,-17.991785,2360.0,0.09959044
0.4,11900.0,0.84371454,-17.890968,0.55,0.20448866,118,0.114092566,-19.105856,2380.0,0.09961609
0.44,12000.0,0.8436932,-18.81569,0.6,0.20449428,119,0.114135355,-14.442238,2400.0,0.099590965
0.36,12100.0,0.843667,-21.999487,0.5,0.20451327,120,0.114118956,-17.810654,2420.0,0.09956307
0.37,12200.0,0.84368986,-21.75537,0.65,0.20451975,121,0.11420092,-7.863088,2440.0,0.099513836
0.46,12300.0,0.8436654,-18.30786,0.7,0.20452963,122,0.11430244,-10.055221,2460.0,0.09945669
0.48,12400.0,0.84370613,-17.717249,0.7,0.20455544,123,0.11447507,-9.68424,2480.0,0.099490136
0.45,12500.0,0.8436002,-18.781313,0.45,0.20451955,124,0.11462088,-19.697168,2500.0,0.099756725
0.48,12600.0,0.843539,-17.277536,0.5,0.2045485,125,0.114979595,-17.310345,2520.0,0.09994439
0.47,12700.0,0.8435354,-16.741524,0.6,0.20453773,126,0.11511942,-14.588916,2540.0,0.10015515
0.39,12800.0,0.8435032,-17.971077,0.6,0.20452186,127,0.115419395,-12.13582,2560.0,0.10040166
0.42,12900.0,0.8434488,-16.422663,0.5,0.20448236,128,0.11561643,-15.833641,2580.0,0.1003918
0.44,13000.0,0.84336877,-15.507794,0.6,0.20442533,129,0.115874395,-12.2830925,2600.0,0.10063654
0.52,13100.0,0.8432024,-15.599243,0.6,0.204415,130,0.11606564,-11.840327,2620.0,0.10098806
0.46,13200.0,0.84315395,-14.82494,0.6,0.20444302,131,0.11624418,-10.671255,2640.0,0.10106418
0.46,13300.0,0.843131,-15.455149,0.55,0.20444387,132,0.1163322,-13.743726,2660.0,0.10110274
0.4,13400.0,0.8430817,-17.244003,0.45,0.20441334,133,0.11639955,-14.515259,2680.0,0.10122185
