epoch,test/mean_Q,train/success_rate,test/success_rate,stats_o/std,stats_o/mean,test/episode,stats_g/mean,train/episode,stats_g/std,train/mean_Q
73,-26.788141,0.1,0.1,0.072550364,0.20114002,1480.0,0.8376093,7400.0,0.07780921,-26.887224
74,-26.829884,0.09,0.05,0.07292337,0.20111962,1500.0,0.8375614,7500.0,0.0777621,-25.756956
75,-19.314472,0.15,0.15,0.07320254,0.20115341,1520.0,0.8376406,7600.0,0.07766907,-24.730364
76,-24.935165,0.12,0.15,0.073386386,0.20113534,1540.0,0.83755344,7700.0,0.07765937,-23.782564
77,-23.884018,0.14,0.15,0.07344523,0.20111541,1560.0,0.83750796,7800.0,0.07760523,-24.401112
78,-26.00152,0.2,0.1,0.07363841,0.20114006,1580.0,0.8376662,7900.0,0.077546895,-20.363453
79,-23.229795,0.13,0.0,0.073656924,0.20112188,1600.0,0.8376531,8000.0,0.0775382,-24.891329
80,-21.92007,0.09,0.0,0.07393364,0.20107159,1620.0,0.8375525,8100.0,0.07761537,-24.936785
81,-22.1456,0.13,0.1,0.07461699,0.2010335,1640.0,0.8374824,8200.0,0.07782901,-23.86073
82,-29.360882,0.13,0.0,0.07465222,0.2010447,1660.0,0.8374606,8300.0,0.07779295,-22.743963
83,-20.27937,0.11,0.2,0.074816674,0.20103882,1680.0,0.83747655,8400.0,0.077861056,-24.882517
84,-23.889517,0.15,0.2,0.07494106,0.20105332,1700.0,0.83745664,8500.0,0.07788984,-22.692818
85,-23.92889,0.14,0.15,0.0750669,0.20105377,1720.0,0.8373935,8600.0,0.07781381,-23.667812
86,-18.098972,0.18,0.3,0.0753184,0.20109123,1740.0,0.8373563,8700.0,0.077834405,-20.956306
87,-21.791622,0.17,0.2,0.07559813,0.20110959,1760.0,0.8373337,8800.0,0.07777893,-23.008911
88,-19.17363,0.13,0.15,0.075976975,0.20113507,1780.0,0.8373895,8900.0,0.07787796,-21.900917
89,-19.082539,0.21,0.3,0.07612493,0.20114973,1800.0,0.8373702,9000.0,0.07799516,-23.083006
90,-23.207329,0.17,0.15,0.076270334,0.2011375,1820.0,0.837336,9100.0,0.07790979,-22.468567
91,-26.803614,0.08,0.15,0.076405905,0.2011569,1840.0,0.837348,9200.0,0.07790592,-23.39962
92,-18.335747,0.18,0.2,0.07639291,0.2011645,1860.0,0.83736056,9300.0,0.07785545,-21.98904
93,-18.811054,0.15,0.1,0.07651928,0.2011263,1880.0,0.8373005,9400.0,0.07779067,-23.622192
94,-21.091307,0.13,0.15,0.07668624,0.20113581,1900.0,0.8372497,9500.0,0.077818915,-21.229834
95,-22.241531,0.17,0.15,0.07678632,0.2011004,1920.0,0.83716893,9600.0,0.07775795,-20.211489
96,-23.694117,0.2,0.1,0.07710246,0.20112535,1940.0,0.83710545,9700.0,0.07775614,-22.507185
97,-20.001,0.23,0.15,0.0774545,0.20112953,1960.0,0.8370481,9800.0,0.07783057,-20.818523
98,-21.781937,0.13,0.1,0.077771,0.20115273,1980.0,0.83704066,9900.0,0.07784071,-19.756998
99,-18.101326,0.14,0.4,0.0779425,0.2011681,2000.0,0.8370691,10000.0,0.077758804,-18.932608
