stats_g/mean,test/success_rate,stats_o/std,epoch,stats_g/std,stats_o/mean,train/mean_Q,train/success_rate,test/episode,train/episode,test/mean_Q
0.8390233,1.0,0.10477426,106,0.076516256,0.20205483,-3.0326018,0.9,2140.0,10700.0,-1.2122314
0.839031,0.95,0.10499099,107,0.07641278,0.20204708,-2.2666912,0.9,2160.0,10800.0,-2.3775465
0.83895326,1.0,0.105005786,108,0.07637155,0.20206547,-2.2889717,0.91,2180.0,10900.0,-1.4479128
0.8389538,0.9,0.10497924,109,0.0762656,0.20207949,-2.1587257,0.91,2200.0,11000.0,-1.5579379
0.83898455,1.0,0.10510459,110,0.07616144,0.2021101,-2.2717245,0.96,2220.0,11100.0,-1.425245
0.8389943,1.0,0.10511096,111,0.07606538,0.20213777,-2.350705,0.92,2240.0,11200.0,-1.2473165
0.8389804,1.0,0.10524109,112,0.07603308,0.20204087,-2.401436,0.95,2260.0,11300.0,-1.2122499
0.83892924,1.0,0.105375245,113,0.07601514,0.20212188,-2.642857,0.91,2280.0,11400.0,-1.124274
0.8389487,1.0,0.10564778,114,0.0759829,0.20210344,-2.2280798,0.91,2300.0,11500.0,-1.359206
0.83897275,1.0,0.10586782,115,0.075877964,0.20215376,-2.356198,0.96,2320.0,11600.0,-1.3162577
0.8389295,0.95,0.10581939,116,0.075798534,0.20212391,-2.4242055,0.92,2340.0,11700.0,-0.96685296
0.83884925,1.0,0.10587505,117,0.07571845,0.20208558,-1.9583462,0.92,2360.0,11800.0,-1.0848887
0.83880895,1.0,0.10601993,118,0.075706966,0.20207655,-2.5168898,0.93,2380.0,11900.0,-1.2508348
0.83878535,0.95,0.1061867,119,0.07568126,0.20208848,-2.4964173,0.91,2400.0,12000.0,-1.3229415
0.8387731,1.0,0.10631988,120,0.075586736,0.20207965,-2.2585244,0.93,2420.0,12100.0,-1.3197292
0.83875984,1.0,0.10634803,121,0.0755319,0.20207146,-2.626407,0.92,2440.0,12200.0,-0.9890827
0.8387356,1.0,0.10643963,122,0.07548991,0.2021039,-2.0521815,0.93,2460.0,12300.0,-1.0699356
0.83876234,1.0,0.1066083,123,0.075409174,0.20210287,-2.098123,0.95,2480.0,12400.0,-1.2222944
0.8387688,1.0,0.106663555,124,0.07531557,0.2020893,-2.1873739,0.95,2500.0,12500.0,-1.0590222
0.8387545,1.0,0.10662851,125,0.07523096,0.20204619,-2.4328578,0.94,2520.0,12600.0,-1.0337381
0.8387809,0.95,0.10665213,126,0.07516234,0.20206594,-2.2997015,0.93,2540.0,12700.0,-1.7325977
0.8387583,0.95,0.10666387,127,0.07514453,0.20205796,-2.31084,0.93,2560.0,12800.0,-1.2114375
0.83876187,0.95,0.10676146,128,0.07505671,0.20206246,-1.9558246,0.98,2580.0,12900.0,-1.7687191
0.8387389,1.0,0.10682713,129,0.07496872,0.20202385,-2.071469,0.94,2600.0,13000.0,-1.0164683
0.8387564,1.0,0.10692776,130,0.07490858,0.20198879,-1.8086498,0.93,2620.0,13100.0,-1.1211561
0.83873534,1.0,0.107014105,131,0.074823566,0.20201546,-2.0141642,0.96,2640.0,13200.0,-0.81604636
0.838721,1.0,0.10712669,132,0.074738845,0.20203578,-2.0274456,0.97,2660.0,13300.0,-1.0981696
0.838757,0.95,0.107138835,133,0.07463803,0.20204283,-1.8144139,0.95,2680.0,13400.0,-2.0606647
0.8387404,1.0,0.10712163,134,0.07455597,0.20209962,-2.0001993,0.94,2700.0,13500.0,-0.88661134
0.83873415,1.0,0.1071541,135,0.074559934,0.2021083,-2.3997755,0.94,2720.0,13600.0,-0.9042071
0.8387534,1.0,0.107120916,136,0.07454442,0.20208986,-2.2243512,0.96,2740.0,13700.0,-1.1805445
0.8387661,1.0,0.10721721,137,0.07456111,0.20208679,-2.4615073,0.91,2760.0,13800.0,-1.1750568
0.8387809,1.0,0.10737987,138,0.074489735,0.20206621,-2.2767768,0.95,2780.0,13900.0,-1.1046481
0.8387987,1.0,0.10732558,139,0.07448751,0.20209183,-2.0836535,0.94,2800.0,14000.0,-1.3260567
0.8388007,0.95,0.10734214,140,0.07443143,0.20211723,-2.06203,0.96,2820.0,14100.0,-3.180884
