test/success_rate,stats_g/mean,test/mean_Q,train/success_rate,train/episode,train/mean_Q,test/episode,epoch,stats_g/std,stats_o/mean,stats_o/std
0.3,0.78993887,-17.229347,0.19,7300.0,-23.782846,1460.0,72,0.15657954,0.18740936,0.09442531
0.3,0.79006743,-15.339216,0.17,7400.0,-22.747719,1480.0,73,0.15637301,0.18747431,0.09445236
0.55,0.7903065,-13.542107,0.14,7500.0,-22.996843,1500.0,74,0.15612817,0.18757193,0.09452626
0.3,0.7904456,-17.362017,0.14,7600.0,-23.481033,1520.0,75,0.15617324,0.18763706,0.09471046
0.55,0.79096395,-12.555399,0.13,7700.0,-23.819008,1540.0,76,0.15616284,0.18773533,0.094768025
0.45,0.79115176,-11.67224,0.14,7800.0,-24.126411,1560.0,77,0.15602465,0.1877656,0.094766475
0.25,0.7915097,-11.803496,0.15,7900.0,-23.813309,1580.0,78,0.15588914,0.18785018,0.09490373
0.05,0.791773,-17.267155,0.08,8000.0,-23.560434,1600.0,79,0.1558968,0.18792991,0.09490279
0.45,0.792203,-16.065033,0.17,8100.0,-21.837637,1620.0,80,0.15569179,0.18797432,0.09494996
0.3,0.7926163,-16.509377,0.18,8200.0,-22.225925,1640.0,81,0.15569678,0.18806905,0.09495715
0.15,0.7929206,-17.03429,0.1,8300.0,-24.508884,1660.0,82,0.15559687,0.18812227,0.09491859
0.3,0.79314965,-16.280895,0.17,8400.0,-23.655752,1680.0,83,0.15549144,0.1881767,0.09492795
0.4,0.79345864,-15.766391,0.14,8500.0,-22.725018,1700.0,84,0.15540257,0.18823455,0.09488492
0.45,0.79378706,-13.274851,0.15,8600.0,-23.04646,1720.0,85,0.15539494,0.18828192,0.094856255
0.45,0.7942068,-14.452545,0.16,8700.0,-24.008865,1740.0,86,0.15531595,0.18836997,0.094859384
0.45,0.794527,-13.692273,0.13,8800.0,-24.023836,1760.0,87,0.1551879,0.18844816,0.09482832
0.4,0.79476196,-15.52803,0.14,8900.0,-24.17667,1780.0,88,0.15506415,0.18852629,0.0947888
0.55,0.79507107,-14.465017,0.08,9000.0,-25.122503,1800.0,89,0.15498623,0.18859144,0.094667606
