train/success_rate,epoch,test/mean_Q,stats_o/mean,test/success_rate,stats_g/std,stats_g/mean,train/mean_Q,test/episode,stats_o/std,train/episode
0.89,93,-1.808924,0.20222697,1.0,0.089225285,0.83832365,-3.8107111,1880.0,0.10097315,9400.0
0.94,94,-1.1542966,0.20226929,1.0,0.08912796,0.83828855,-3.4356184,1900.0,0.10131381,9500.0
0.92,95,-1.4998229,0.20228639,1.0,0.08911563,0.838255,-3.7681122,1920.0,0.10130495,9600.0
0.91,96,-2.1788907,0.20225295,1.0,0.08894009,0.83825594,-3.0690055,1940.0,0.101366855,9700.0
0.94,97,-2.373305,0.20229042,0.95,0.08882146,0.8382707,-2.8235672,1960.0,0.10136768,9800.0
0.92,98,-1.9794489,0.20228449,0.95,0.0886982,0.8382887,-2.8383088,1980.0,0.10134488,9900.0
0.91,99,-1.6089566,0.2023117,1.0,0.088620715,0.8383095,-3.4700973,2000.0,0.1015275,10000.0
0.93,100,-1.3552166,0.20235187,1.0,0.08848027,0.8383426,-2.8304508,2020.0,0.101516925,10100.0
0.93,101,-1.7603314,0.20236944,1.0,0.08839781,0.8383134,-3.1266418,2040.0,0.10168965,10200.0
0.88,102,-1.6855768,0.20238788,1.0,0.08831235,0.8383184,-3.330267,2060.0,0.101670265,10300.0
0.88,103,-1.9253393,0.20241675,1.0,0.08821303,0.83839035,-3.2882068,2080.0,0.10173924,10400.0
0.97,104,-1.8501613,0.20242782,1.0,0.088076115,0.83844346,-2.6444473,2100.0,0.1016821,10500.0
0.9,105,-1.3316754,0.20245135,1.0,0.08797928,0.83845705,-3.205133,2120.0,0.10173719,10600.0
0.95,106,-1.537451,0.20245686,1.0,0.08784038,0.8384289,-2.7995996,2140.0,0.10167483,10700.0
0.93,107,-1.5598397,0.20243864,1.0,0.08771456,0.8384699,-3.002209,2160.0,0.10173932,10800.0
0.94,108,-1.547871,0.20244999,1.0,0.08759755,0.8384311,-2.7483869,2180.0,0.101582564,10900.0
0.94,109,-1.918041,0.20249741,1.0,0.0874748,0.83846277,-2.6159773,2200.0,0.10168852,11000.0
0.91,110,-1.4502475,0.20252372,1.0,0.08733002,0.838491,-2.761033,2220.0,0.1016175,11100.0
0.9,111,-1.6135397,0.20252807,1.0,0.08723927,0.8385088,-3.123997,2240.0,0.10162599,11200.0
0.89,112,-1.1373979,0.20249651,1.0,0.08718803,0.83852416,-3.2870557,2260.0,0.101694696,11300.0
