epoch,test/success_rate,stats_o/std,train/success_rate,stats_o/mean,stats_g/mean,stats_g/std,train/mean_Q,train/episode,test/mean_Q,test/episode
92,0.4,0.11451585,0.47,0.20401457,0.8416462,0.10262248,-15.415563,9300.0,-21.677494,1860.0
93,0.45,0.11468366,0.52,0.2040216,0.8416462,0.10259672,-14.009452,9400.0,-16.363552,1880.0
94,0.4,0.11487469,0.36,0.20397913,0.84151506,0.10257217,-18.37403,9500.0,-18.605516,1900.0
95,0.6,0.11501195,0.46,0.20393391,0.84152895,0.10259079,-15.872662,9600.0,-10.753705,1920.0
96,0.55,0.11538079,0.45,0.20389564,0.84140134,0.10272741,-16.995592,9700.0,-12.937675,1940.0
97,0.45,0.11543728,0.32,0.20387071,0.841345,0.102950275,-19.58494,9800.0,-16.896328,1960.0
98,0.6,0.11558451,0.39,0.20388283,0.841428,0.10302357,-16.721104,9900.0,-13.516325,1980.0
99,0.45,0.11571927,0.5,0.20384572,0.84139365,0.10315186,-15.184741,10000.0,-18.780447,2000.0
100,0.65,0.115970924,0.52,0.2038419,0.8413348,0.1032514,-14.745301,10100.0,-11.305983,2020.0
101,0.6,0.11624786,0.34,0.20387174,0.8413289,0.103274524,-18.741552,10200.0,-16.342487,2040.0
102,0.5,0.11641458,0.42,0.20383836,0.8413589,0.10338231,-17.337923,10300.0,-17.432201,2060.0
103,0.55,0.11666251,0.42,0.2038696,0.8414392,0.10359424,-17.599236,10400.0,-15.543482,2080.0
104,0.7,0.11680433,0.46,0.2038925,0.8413803,0.10390016,-16.661972,10500.0,-12.183877,2100.0
105,0.4,0.116910584,0.52,0.20387825,0.84135586,0.103826664,-14.300198,10600.0,-21.444214,2120.0
106,0.6,0.11700449,0.45,0.20389365,0.84132004,0.10389057,-17.382166,10700.0,-14.644838,2140.0
107,0.55,0.1170568,0.41,0.203887,0.8413666,0.10390625,-18.85868,10800.0,-16.314625,2160.0
108,0.4,0.11716552,0.48,0.2038915,0.84137636,0.10397815,-16.082644,10900.0,-20.382069,2180.0
109,0.5,0.11731563,0.45,0.20387861,0.84125537,0.10426416,-15.563828,11000.0,-16.66418,2200.0
110,0.55,0.11724248,0.48,0.20384997,0.84126693,0.10410917,-13.164853,11100.0,-11.883425,2220.0
111,0.5,0.11730755,0.39,0.20383868,0.84129924,0.103987634,-14.81305,11200.0,-14.504379,2240.0
