test/episode,train/mean_Q,stats_o/mean,test/success_rate,stats_g/mean,epoch,train/episode,stats_o/std,stats_g/std,test/mean_Q,train/success_rate
2780.0,-2.1674542,0.20204516,1.0,0.83886486,138,13900.0,0.114772886,0.07819483,-1.2211815,0.93
2800.0,-2.4698896,0.20203885,1.0,0.8388807,139,14000.0,0.114926465,0.078188084,-1.0978643,0.91
2820.0,-2.3028529,0.2020555,1.0,0.8388812,140,14100.0,0.114972085,0.078093745,-1.2609527,0.95
2840.0,-1.8755128,0.2020808,1.0,0.8388719,141,14200.0,0.11491451,0.07801214,-0.91737235,1.0
2860.0,-2.3675997,0.20203666,0.95,0.8388569,142,14300.0,0.11496804,0.07799529,-1.3845453,0.91
2880.0,-2.1063967,0.20203821,1.0,0.83884573,143,14400.0,0.11495931,0.0779688,-1.101893,0.93
2900.0,-2.322266,0.20203081,0.95,0.8387821,144,14500.0,0.11501308,0.077937394,-2.4798164,0.93
2920.0,-2.1494427,0.2020543,0.95,0.83876294,145,14600.0,0.11504075,0.077871166,-3.1914735,0.94
2940.0,-2.0464647,0.2020802,0.95,0.8387533,146,14700.0,0.1151093,0.07780043,-1.5304651,0.93
2960.0,-1.841646,0.20208435,1.0,0.83879036,147,14800.0,0.11511404,0.07772807,-1.2840959,0.97
2980.0,-2.3723276,0.20211415,1.0,0.8387899,148,14900.0,0.11525151,0.07768643,-1.1726794,0.92
3000.0,-2.253955,0.2021663,1.0,0.8387595,149,15000.0,0.11530647,0.07767322,-1.2665635,0.93
3020.0,-2.2015524,0.20216927,1.0,0.8387404,150,15100.0,0.11537385,0.077575505,-1.0595909,0.98
3040.0,-2.168757,0.20219162,1.0,0.8387969,151,15200.0,0.115359776,0.07754064,-0.99998605,0.93
3060.0,-2.3740895,0.2021457,1.0,0.8387895,152,15300.0,0.115434654,0.07752137,-0.9903572,0.95
3080.0,-2.215865,0.20208694,1.0,0.8387663,153,15400.0,0.11541276,0.07745152,-0.8540214,0.95
3100.0,-2.1042533,0.2020521,1.0,0.8387601,154,15500.0,0.11541349,0.07739668,-1.1173671,0.94
3120.0,-2.0674846,0.20205359,1.0,0.8387885,155,15600.0,0.11543859,0.07732093,-1.0205042,0.96
3140.0,-2.0658278,0.2020734,1.0,0.8387761,156,15700.0,0.11542899,0.07725201,-1.3931938,0.96
3160.0,-2.1014848,0.20207253,1.0,0.8387843,157,15800.0,0.11539719,0.07717049,-0.97797775,0.97
3180.0,-2.1053283,0.20199394,1.0,0.83877563,158,15900.0,0.11538713,0.07709131,-1.3721144,0.96
3200.0,-2.1748133,0.20198917,1.0,0.83877915,159,16000.0,0.11537454,0.07700949,-1.3105427,0.94
3220.0,-2.6463566,0.20200053,1.0,0.8387632,160,16100.0,0.115370646,0.07706427,-1.135432,0.93
3240.0,-2.6297402,0.20199409,1.0,0.838767,161,16200.0,0.115421355,0.07708474,-0.82540244,0.96
3260.0,-2.1781356,0.20198715,1.0,0.83876705,162,16300.0,0.11543649,0.0770401,-0.9438756,0.9
3280.0,-2.421905,0.20200565,1.0,0.8387556,163,16400.0,0.11549902,0.077026375,-0.922716,0.92
