test/episode,train/mean_Q,epoch,stats_g/std,test/success_rate,test/mean_Q,stats_g/mean,train/episode,stats_o/mean,train/success_rate,stats_o/std
1840.0,-24.55386,91,0.16326839,0.4,-15.295238,0.8010176,9200.0,0.18946272,0.19,0.09453122
1860.0,-23.594786,92,0.16309734,0.45,-15.509463,0.801244,9300.0,0.18954013,0.18,0.094451696
1880.0,-26.652626,93,0.16311367,0.3,-20.272198,0.8015395,9400.0,0.18960911,0.11,0.0944427
1900.0,-24.815056,94,0.16297382,0.4,-17.156864,0.8018422,9500.0,0.18965393,0.15,0.09447431
1920.0,-22.61831,95,0.1628604,0.45,-16.619389,0.80195665,9600.0,0.1896587,0.31,0.0943763
1940.0,-27.360628,96,0.16291173,0.4,-14.964548,0.8021157,9700.0,0.18969686,0.12,0.09435249
1960.0,-25.529627,97,0.1626965,0.55,-12.48145,0.80227256,9800.0,0.18970451,0.12,0.09432671
1980.0,-25.172731,98,0.1626379,0.5,-15.897069,0.8024187,9900.0,0.18970108,0.14,0.094325855
2000.0,-26.137836,99,0.16254951,0.45,-16.689577,0.8026059,10000.0,0.18975651,0.16,0.09432193
2020.0,-26.055483,100,0.16256338,0.4,-17.012156,0.8025982,10100.0,0.18976477,0.19,0.09438542
2040.0,-25.095488,101,0.16247901,0.4,-15.720746,0.8026908,10200.0,0.18978515,0.19,0.09436229
2060.0,-26.549915,102,0.16231205,0.7,-15.120163,0.80283815,10300.0,0.18983053,0.16,0.09438266
2080.0,-26.949064,103,0.16217162,0.45,-16.412167,0.80303884,10400.0,0.18987483,0.11,0.09434877
2100.0,-25.63861,104,0.16203,0.4,-18.53254,0.8031753,10500.0,0.1898852,0.13,0.09436648
2120.0,-26.228592,105,0.1619788,0.3,-16.473307,0.8032456,10600.0,0.18992858,0.17,0.094359025
2140.0,-25.9831,106,0.16183962,0.45,-18.113592,0.8035157,10700.0,0.1899611,0.23,0.09431038
2160.0,-25.457928,107,0.16180019,0.45,-17.420835,0.8035958,10800.0,0.19000977,0.23,0.09429857
2180.0,-26.894281,108,0.1617906,0.45,-15.963654,0.80379945,10900.0,0.19004595,0.19,0.094252564
2200.0,-28.927542,109,0.16182102,0.25,-17.814,0.80391484,11000.0,0.19002777,0.16,0.09421212
