epoch,train/episode,stats_g/std,stats_o/mean,test/success_rate,stats_g/mean,test/mean_Q,test/episode,train/success_rate,stats_o/std,train/mean_Q
96,9700.0,0.07935301,0.20123702,0.95,0.8376353,-1.9688818,1940.0,0.9,0.10701378,-2.8423572
97,9800.0,0.07947759,0.20126164,0.85,0.8376692,-3.168291,1960.0,0.89,0.10736922,-3.5260303
98,9900.0,0.07935465,0.20128353,0.95,0.8377066,-2.1426868,1980.0,0.92,0.10748777,-2.60516
99,10000.0,0.07929179,0.2013483,0.95,0.8377035,-1.5451502,2000.0,0.9,0.10771145,-3.1040223
100,10100.0,0.07914867,0.20138925,1.0,0.8377432,-1.4203378,2020.0,0.88,0.10802977,-2.5924454
101,10200.0,0.079013646,0.20139633,1.0,0.83771485,-1.5251701,2040.0,0.89,0.10807862,-2.39336
102,10300.0,0.07888998,0.2013763,0.95,0.8377394,-3.460936,2060.0,0.91,0.1080794,-2.7944064
103,10400.0,0.07894566,0.20133637,1.0,0.83780265,-1.6128887,2080.0,0.85,0.10826775,-3.5453663
104,10500.0,0.07882749,0.20129828,0.95,0.83785635,-1.526461,2100.0,0.94,0.10824826,-2.513968
105,10600.0,0.07872823,0.20136772,1.0,0.8378613,-1.1960742,2120.0,0.93,0.108331725,-2.632589
106,10700.0,0.07871354,0.20136562,1.0,0.8378374,-1.3502816,2140.0,0.92,0.10852542,-2.857898
107,10800.0,0.07861584,0.20142154,0.95,0.8378802,-1.9219139,2160.0,0.92,0.10867198,-2.8960974
108,10900.0,0.0784823,0.20143688,1.0,0.8378331,-1.4911667,2180.0,0.96,0.10873794,-2.3754659
109,11000.0,0.07836182,0.20139661,1.0,0.83782715,-1.6352596,2200.0,0.94,0.10882226,-2.4113302
110,11100.0,0.0782377,0.20139536,1.0,0.83784485,-1.4263628,2220.0,0.94,0.10904378,-2.495827
111,11200.0,0.07834179,0.20137006,0.95,0.83785504,-1.5220548,2240.0,0.89,0.109343044,-3.6239011
112,11300.0,0.07839588,0.20139457,0.95,0.837864,-1.1866497,2260.0,0.93,0.109552644,-2.8576562
113,11400.0,0.078303695,0.20141909,1.0,0.83782095,-1.0656083,2280.0,0.88,0.109629326,-2.5845056
114,11500.0,0.07820047,0.20139664,0.9,0.83781356,-2.9376717,2300.0,0.95,0.109802864,-2.3669748
115,11600.0,0.07815922,0.2014216,1.0,0.837826,-1.6328799,2320.0,0.93,0.10979544,-2.6294312
116,11700.0,0.07807255,0.20142652,1.0,0.8377919,-1.0188401,2340.0,0.97,0.11006126,-2.5702667
117,11800.0,0.07796528,0.20143671,1.0,0.8377447,-1.075896,2360.0,0.93,0.11021411,-2.3170414
118,11900.0,0.07791245,0.20140003,1.0,0.83771974,-1.0951098,2380.0,0.93,0.11043408,-2.6343567
119,12000.0,0.07780531,0.20136416,1.0,0.8377018,-1.0216483,2400.0,0.96,0.11052844,-2.1704104
120,12100.0,0.07769934,0.20133856,1.0,0.8376991,-1.8137233,2420.0,0.91,0.1105818,-2.3624108
121,12200.0,0.077585965,0.20135134,1.0,0.8376977,-1.1929682,2440.0,0.95,0.11069045,-2.4189959
122,12300.0,0.07757459,0.20136808,1.0,0.8377204,-1.4586451,2460.0,0.91,0.11066127,-2.4716852
123,12400.0,0.07748844,0.20136894,0.95,0.8377773,-1.3361748,2480.0,0.95,0.11064573,-2.3681288
124,12500.0,0.0773946,0.20137383,1.0,0.8377855,-1.2610502,2500.0,0.92,0.11076304,-2.586284
125,12600.0,0.07732079,0.20142251,1.0,0.8377702,-1.0761774,2520.0,0.95,0.11080671,-2.683318
126,12700.0,0.07723014,0.20142172,1.0,0.83777237,-1.507692,2540.0,0.96,0.11092015,-2.5363798
127,12800.0,0.07723044,0.20140852,1.0,0.83775043,-1.3504415,2560.0,0.95,0.1111271,-2.7937393
128,12900.0,0.07713949,0.20144376,1.0,0.8377622,-1.34431,2580.0,0.96,0.11120872,-2.0732374
129,13000.0,0.07703457,0.20143408,1.0,0.83774877,-1.2392404,2600.0,0.97,0.11121352,-2.1820447
130,13100.0,0.07699165,0.20141679,1.0,0.8377746,-1.3777288,2620.0,0.94,0.111237526,-2.2514338
131,13200.0,0.07695484,0.20145096,1.0,0.8377711,-0.9127138,2640.0,0.97,0.11140897,-2.5582438
132,13300.0,0.07692789,0.2013958,1.0,0.83776,-1.1359862,2660.0,0.88,0.11143455,-2.6109486
133,13400.0,0.07682382,0.20140405,1.0,0.8378198,-1.3090754,2680.0,0.91,0.11135848,-2.2027802
134,13500.0,0.07672606,0.2013738,1.0,0.83781594,-0.8329873,2700.0,0.89,0.111433305,-2.194435
135,13600.0,0.07671563,0.20135048,1.0,0.8378288,-0.9009204,2720.0,0.92,0.111584276,-2.7649698
136,13700.0,0.07665711,0.20141383,1.0,0.8378623,-1.1914963,2740.0,0.94,0.11171314,-2.3564856
137,13800.0,0.07659076,0.2013695,1.0,0.837882,-0.9254645,2760.0,0.94,0.111800626,-2.437418
138,13900.0,0.07654572,0.20136996,1.0,0.83790714,-1.2601496,2780.0,0.89,0.111885205,-2.642046
139,14000.0,0.0765216,0.20136882,1.0,0.83792096,-1.0130574,2800.0,0.96,0.111980006,-2.2833
140,14100.0,0.07642049,0.20139676,1.0,0.83793,-1.510036,2820.0,0.99,0.11201665,-2.157977
141,14200.0,0.07644289,0.2013933,1.0,0.8379049,-1.0516837,2840.0,0.93,0.11206149,-2.6219862
142,14300.0,0.07637522,0.20140156,1.0,0.8378957,-1.1899598,2860.0,0.98,0.11213779,-2.1609547
143,14400.0,0.07633602,0.20143409,1.0,0.83788544,-1.1410545,2880.0,0.97,0.11211797,-2.220661
144,14500.0,0.07623401,0.20144631,1.0,0.8378587,-1.0832922,2900.0,0.96,0.11221648,-2.1055925
145,14600.0,0.07620189,0.20146579,1.0,0.8378663,-1.2610837,2920.0,0.95,0.11217666,-2.2303698
146,14700.0,0.07626677,0.20149599,1.0,0.8378766,-1.3577747,2940.0,0.92,0.112275474,-2.834686
147,14800.0,0.07621194,0.20154715,1.0,0.8379187,-1.1708419,2960.0,0.93,0.112289935,-2.1041193
148,14900.0,0.07623074,0.20154689,0.95,0.8379286,-1.0981597,2980.0,0.95,0.11231869,-2.744326
149,15000.0,0.07616239,0.20155872,1.0,0.8379261,-1.169438,3000.0,0.95,0.11230885,-2.0945828
150,15100.0,0.076141216,0.20156199,1.0,0.8379329,-1.2909994,3020.0,0.94,0.11235046,-2.4616473
151,15200.0,0.076073065,0.20159665,1.0,0.83801264,-1.0006651,3040.0,0.94,0.112344325,-2.1437151
152,15300.0,0.0761034,0.20155554,1.0,0.83800983,-1.1497717,3060.0,0.91,0.112397335,-2.624915
153,15400.0,0.07602798,0.20154528,1.0,0.83798957,-0.9320887,3080.0,0.94,0.11233356,-2.1907778
154,15500.0,0.07598041,0.20159167,1.0,0.8379969,-1.1320133,3100.0,0.95,0.112473726,-2.27541
155,15600.0,0.075905584,0.2015795,0.95,0.8380371,-3.010067,3120.0,0.94,0.112522356,-1.9913306
156,15700.0,0.07585093,0.20160979,1.0,0.8380247,-1.319304,3140.0,0.94,0.11255541,-2.1303136
157,15800.0,0.07580842,0.20157158,1.0,0.8380461,-0.934014,3160.0,0.96,0.11257935,-2.332219
158,15900.0,0.07577693,0.20155889,1.0,0.8380353,-1.0760808,3180.0,0.94,0.112585336,-2.3969123
159,16000.0,0.07569956,0.20154318,0.95,0.8380449,-1.513008,3200.0,0.95,0.11265236,-2.2113688
160,16100.0,0.07572619,0.2015725,1.0,0.83805925,-1.2335987,3220.0,0.89,0.11273611,-2.684303
161,16200.0,0.07572664,0.20159188,1.0,0.8380701,-0.8076359,3240.0,0.96,0.11273227,-2.2724416
162,16300.0,0.07565132,0.20160593,1.0,0.8380664,-1.2797166,3260.0,0.95,0.112789534,-1.9938146
163,16400.0,0.075577796,0.20159072,1.0,0.83804137,-0.87239075,3280.0,0.97,0.11275816,-1.8597112
164,16500.0,0.07550802,0.20158276,1.0,0.8380723,-1.0636003,3300.0,0.93,0.11272738,-2.0900378
165,16600.0,0.07549812,0.20157415,0.95,0.8380904,-1.241832,3320.0,0.92,0.112697095,-2.3579874
166,16700.0,0.07542216,0.2015768,1.0,0.8380747,-1.3876072,3340.0,0.95,0.11269235,-2.1035752
167,16800.0,0.07543752,0.2015657,1.0,0.83811975,-1.4129778,3360.0,0.95,0.112692386,-2.7590485
168,16900.0,0.07554444,0.20154776,1.0,0.83811074,-1.120607,3380.0,0.9,0.11281882,-3.289613
169,17000.0,0.07546874,0.20153797,1.0,0.8381181,-1.019421,3400.0,0.98,0.112771995,-1.9709754
170,17100.0,0.07540553,0.20154186,1.0,0.83809376,-1.2927985,3420.0,0.93,0.112861745,-1.9623427
171,17200.0,0.0753547,0.20152639,1.0,0.83813137,-1.1751758,3440.0,0.93,0.112873696,-2.159903
172,17300.0,0.07528651,0.20153,1.0,0.8381141,-1.0785573,3460.0,0.96,0.11291783,-2.2010674
173,17400.0,0.07525119,0.20152451,1.0,0.83811337,-0.92509156,3480.0,0.91,0.1129653,-2.3607054
174,17500.0,0.075242005,0.20152459,1.0,0.838119,-1.2286702,3500.0,0.94,0.11297246,-2.39881
175,17600.0,0.07518377,0.2015404,1.0,0.8381168,-1.0840018,3520.0,0.9,0.113057606,-2.4750252
176,17700.0,0.075193316,0.20151502,1.0,0.8381822,-1.0030398,3540.0,0.92,0.11316152,-2.4586797
177,17800.0,0.07514229,0.20152053,1.0,0.8381891,-0.8266578,3560.0,0.97,0.113191515,-2.132662
178,17900.0,0.075092055,0.20153551,1.0,0.83821344,-1.3485487,3580.0,0.95,0.113181114,-2.2564127
179,18000.0,0.075092174,0.20153275,1.0,0.83821756,-1.088948,3600.0,0.96,0.11315086,-2.3317704
180,18100.0,0.07502845,0.20156562,1.0,0.83821064,-1.0251029,3620.0,0.95,0.11320205,-2.0755289
181,18200.0,0.07500374,0.20159784,0.95,0.83820695,-1.0743712,3640.0,0.97,0.11325495,-2.2367518
182,18300.0,0.07496143,0.20157482,0.9,0.83816975,-2.4105449,3660.0,0.97,0.11332824,-2.40016
183,18400.0,0.07495117,0.20156454,1.0,0.8382311,-0.9838319,3680.0,0.92,0.11338201,-2.2736397
184,18500.0,0.07489248,0.20156097,1.0,0.83819073,-1.19424,3700.0,0.9,0.11335609,-2.233451
185,18600.0,0.074851,0.20153362,1.0,0.83820444,-1.1031449,3720.0,0.96,0.11334875,-2.1974714
186,18700.0,0.074838325,0.20154172,1.0,0.83817226,-0.867582,3740.0,0.91,0.11342498,-2.4326682
187,18800.0,0.07482452,0.20157643,1.0,0.83821505,-1.2901161,3760.0,0.95,0.11345937,-2.2567174
188,18900.0,0.074810125,0.20156923,1.0,0.83822036,-1.2102959,3780.0,0.97,0.11346742,-2.1637022
189,19000.0,0.074829705,0.20157762,1.0,0.83819723,-1.4005854,3800.0,0.95,0.113394596,-2.1620111
190,19100.0,0.074784845,0.20158243,1.0,0.8382105,-1.2181259,3820.0,0.94,0.11342828,-2.091148
191,19200.0,0.0747824,0.20156805,1.0,0.8381968,-1.0459379,3840.0,0.94,0.11343505,-2.1407173
192,19300.0,0.07482014,0.20157161,1.0,0.83820057,-1.0601658,3860.0,0.89,0.11354577,-2.9933743
193,19400.0,0.07477261,0.2015342,1.0,0.8381746,-1.0012921,3880.0,0.95,0.11357005,-1.9014076
194,19500.0,0.07471093,0.20154747,1.0,0.8381629,-1.2244543,3900.0,0.96,0.11352931,-2.0688627
195,19600.0,0.07466649,0.20155431,1.0,0.8381545,-1.0033567,3920.0,0.96,0.113516435,-2.000816
196,19700.0,0.07461094,0.20153782,1.0,0.83813095,-1.0239477,3940.0,0.98,0.11349422,-1.9292443
197,19800.0,0.074722596,0.20154482,1.0,0.83812,-1.0091307,3960.0,0.88,0.11360106,-3.4169745
198,19900.0,0.07472203,0.20152372,1.0,0.8381161,-1.0078869,3980.0,0.93,0.11361296,-2.2524092
199,20000.0,0.07470665,0.20152201,1.0,0.83812714,-1.1506969,4000.0,0.94,0.11362401,-2.4203408
