test/mean_Q,train/success_rate,train/episode,stats_o/std,stats_g/std,stats_o/mean,stats_g/mean,test/success_rate,train/mean_Q,epoch,test/episode
-4.3510203,0.9,8300.0,0.09303573,0.08494278,0.20159353,0.8373359,0.75,-3.8701067,82,1660.0
-1.7459815,0.86,8400.0,0.09323627,0.08496065,0.20161337,0.8373647,1.0,-4.7268333,83,1680.0
-2.4604204,0.84,8500.0,0.09327387,0.08494898,0.20162648,0.8373955,0.95,-4.2774377,84,1700.0
-2.3137035,0.95,8600.0,0.093406714,0.084930025,0.20168112,0.8373843,0.95,-3.9150076,85,1720.0
-1.1167709,0.89,8700.0,0.09350484,0.084825724,0.20173174,0.8374016,1.0,-3.0742974,86,1740.0
-2.4142299,0.93,8800.0,0.09374347,0.084778726,0.20176154,0.8374448,1.0,-3.8617158,87,1760.0
-2.4490285,0.85,8900.0,0.09398305,0.08469125,0.20180832,0.83750445,0.95,-3.9960876,88,1780.0
-1.7325388,0.84,9000.0,0.09399421,0.08457473,0.20184729,0.8375263,1.0,-3.6921663,89,1800.0
-2.1674428,0.9,9100.0,0.093905285,0.08447811,0.20187466,0.83756495,1.0,-3.1942139,90,1820.0
-4.138384,0.92,9200.0,0.093985856,0.08437893,0.2019088,0.8376034,0.9,-3.525401,91,1840.0
-1.6330191,0.98,9300.0,0.09408366,0.08428943,0.20193881,0.8376622,1.0,-3.1873941,92,1860.0
-1.5880687,0.96,9400.0,0.09420287,0.08420071,0.20202072,0.83767605,1.0,-3.0951169,93,1880.0
-1.2430317,0.87,9500.0,0.09430661,0.08416545,0.20204742,0.8376562,1.0,-3.5209439,94,1900.0
-1.4552488,0.9,9600.0,0.094363965,0.08416212,0.20203218,0.8376405,1.0,-3.4944263,95,1920.0
-2.2974238,0.9,9700.0,0.09454238,0.0840497,0.20203716,0.8376775,1.0,-3.715807,96,1940.0
-2.4781272,0.89,9800.0,0.09465167,0.08398559,0.20203221,0.83770204,0.95,-3.311238,97,1960.0
-2.1804395,0.88,9900.0,0.09483123,0.0839759,0.20200151,0.83773917,0.95,-3.3643394,98,1980.0
-1.5416846,0.9,10000.0,0.09502606,0.08388946,0.2020285,0.83778447,1.0,-3.3151104,99,2000.0
-1.6992728,0.97,10100.0,0.09503232,0.0837979,0.20206434,0.8378323,1.0,-2.9719017,100,2020.0
-1.7416666,0.89,10200.0,0.09518477,0.08376577,0.20206003,0.8378188,1.0,-3.262798,101,2040.0
-1.994915,0.9,10300.0,0.09526431,0.08366265,0.2020578,0.8378563,1.0,-3.214335,102,2060.0
-1.8006077,0.86,10400.0,0.09537502,0.083597064,0.20204832,0.8379118,0.95,-3.3254545,103,2080.0
-1.5953276,0.85,10500.0,0.09549922,0.08360832,0.20209152,0.8379638,1.0,-3.4250958,104,2100.0
-1.4403018,0.9,10600.0,0.09552953,0.083543696,0.20210132,0.83797485,1.0,-3.174241,105,2120.0
-1.9221084,0.88,10700.0,0.09552823,0.083517015,0.2021209,0.83796614,0.95,-3.3746734,106,2140.0
-1.759177,0.9,10800.0,0.09559018,0.08350942,0.2021241,0.83798313,0.95,-3.5989997,107,2160.0
-1.6615422,0.96,10900.0,0.09558425,0.08341562,0.20212707,0.8379423,1.0,-2.637033,108,2180.0
-2.0203931,0.91,11000.0,0.09564757,0.08333909,0.20213862,0.8379641,1.0,-3.111167,109,2200.0
-1.6597182,0.9,11100.0,0.0956943,0.083289534,0.2021508,0.83800167,1.0,-3.2680216,110,2220.0
-1.6672642,0.91,11200.0,0.09565337,0.083210446,0.20216295,0.8380122,1.0,-2.8208694,111,2240.0
-1.2354612,0.92,11300.0,0.09578839,0.08316191,0.20215064,0.8380265,1.0,-2.8396032,112,2260.0
-1.3100735,0.89,11400.0,0.09588396,0.08314975,0.2021036,0.8379858,1.0,-3.1863523,113,2280.0
-1.5381063,0.88,11500.0,0.0959306,0.08311265,0.20208922,0.83800024,0.95,-2.814141,114,2300.0
