test/mean_Q,train/episode,stats_o/mean,train/success_rate,stats_o/std,stats_g/mean,test/episode,train/mean_Q,stats_g/std,test/success_rate,epoch
-22.334736,9100.0,0.20356177,0.24,0.10628274,0.8412216,1820.0,-20.807224,0.0984614,0.3,90
-19.257719,9200.0,0.20360179,0.3,0.10634484,0.8413043,1840.0,-18.762861,0.098426245,0.35,91
-25.724346,9300.0,0.20358805,0.4,0.10672505,0.84130806,1860.0,-18.781305,0.09830252,0.35,92
-20.860302,9400.0,0.20361333,0.25,0.10713298,0.8412909,1880.0,-17.657183,0.09829757,0.45,93
-23.793682,9500.0,0.20355852,0.29,0.10729144,0.8411612,1900.0,-21.908846,0.098231934,0.35,94
-14.007439,9600.0,0.2036522,0.31,0.10766553,0.84119576,1920.0,-19.48948,0.098136425,0.5,95
-18.104183,9700.0,0.20366916,0.25,0.107994996,0.8412797,1940.0,-21.274448,0.098172374,0.5,96
-21.414572,9800.0,0.20369701,0.2,0.10813302,0.84135884,1960.0,-23.606056,0.09815979,0.45,97
-19.258863,9900.0,0.20367454,0.34,0.10834014,0.8414905,1980.0,-20.13475,0.09825241,0.3,98
-22.101812,10000.0,0.2036292,0.35,0.10856213,0.8414828,2000.0,-18.094337,0.09824804,0.3,99
-14.577624,10100.0,0.20364484,0.37,0.10879207,0.8415114,2020.0,-17.542986,0.09817642,0.3,100
-20.609722,10200.0,0.20362596,0.28,0.10900493,0.8414994,2040.0,-21.72774,0.09818992,0.45,101
-20.315825,10300.0,0.20362397,0.33,0.10924963,0.841507,2060.0,-20.442747,0.098259665,0.45,102
-18.346388,10400.0,0.20365621,0.3,0.10953293,0.8416171,2080.0,-20.788128,0.09841651,0.3,103
-16.253326,10500.0,0.20363964,0.34,0.109786704,0.8415926,2100.0,-19.180801,0.09840257,0.4,104
-25.106693,10600.0,0.2036744,0.41,0.110197045,0.8415275,2120.0,-17.431194,0.098456204,0.3,105
-17.309546,10700.0,0.20364061,0.33,0.11046764,0.8414588,2140.0,-20.549162,0.09864808,0.45,106
-18.335878,10800.0,0.20360716,0.32,0.11060164,0.84144497,2160.0,-22.739351,0.09859275,0.5,107
-26.203012,10900.0,0.20359802,0.46,0.11074699,0.8414212,2180.0,-19.018934,0.098586835,0.25,108
-20.664692,11000.0,0.20355695,0.41,0.11092936,0.8414299,2200.0,-18.503382,0.09851512,0.4,109
-18.605886,11100.0,0.20355025,0.4,0.1110889,0.84138435,2220.0,-18.597843,0.09860331,0.3,110
-20.426226,11200.0,0.2035374,0.32,0.11114765,0.8414262,2240.0,-20.957588,0.09857,0.5,111
-18.910124,11300.0,0.20353891,0.41,0.111310415,0.84141326,2260.0,-20.328503,0.09855846,0.45,112
-19.203386,11400.0,0.20351171,0.44,0.11147619,0.84144217,2280.0,-18.803852,0.098514706,0.5,113
-25.933096,11500.0,0.20351265,0.39,0.11163582,0.8414102,2300.0,-20.300251,0.09853233,0.3,114
-22.624996,11600.0,0.20348766,0.36,0.11188941,0.8413954,2320.0,-19.096306,0.09859503,0.45,115
-22.20756,11700.0,0.2034784,0.44,0.11210099,0.8413563,2340.0,-19.585037,0.09874586,0.45,116
-20.748829,11800.0,0.20348024,0.41,0.11226907,0.84141356,2360.0,-18.787016,0.09874041,0.5,117
-18.647955,11900.0,0.20348662,0.37,0.112412766,0.84146565,2380.0,-19.987097,0.098797314,0.55,118
